Direction,Timestamp,Hash
OUT,1556130317121,af7dd457-6526-4183-8b67-ad2412eb837f
IN,1556130317121,286054f7-65d7-45ad-b0c6-85abc6fecc0d
OUT,1556130317216,0ed4a505-b01b-4e3c-88fd-abaf2898628e
IN,1556130317216,0febe001-3900-426d-b4f5-3638c17f07ab
IN,1556130317216,1d932e37-33c2-4775-b445-461b9d3849c1
OUT,1556130317315,8da4d949-a735-4a86-9bb6-912aa8869ea2
IN,1556130317316,4a6de897-e62e-4b9a-af53-faf8399ccb1c
IN,1556130317316,81257485-1511-4712-96c0-09a66cb28e8a
OUT,1556130317413,81912ad3-e5a7-4a00-aa35-32b8df3f6347
IN,1556130317413,2d477923-9fdf-4620-970e-e772d63ab442
IN,1556130317414,b4273292-f431-46db-8533-1b583576757a
IN,1556130317512,031d17dc-2e68-4665-93af-1c555ca82fd0
OUT,1556130317512,6cdd7de1-7e85-4c11-9732-88f59ce3c429
IN,1556130317513,6cdd7de1-7e85-4c11-9732-88f59ce3c429
IN,1556130317513,ba014321-e73a-429c-850a-ca45d3230c8f
IN,1556130317606,c14998e6-9ce8-47e7-bf17-78e45e0c278e
OUT,1556130317612,6ae3e83b-6e74-4608-9eac-ec55997e99f9
IN,1556130317612,fe41ce6b-4230-49ca-a227-237401fe1035
IN,1556130317705,d574d2f5-5732-4128-ba33-9221e7cb5832
OUT,1556130317712,3123df21-500f-4193-ae2d-183fa36583e0
IN,1556130317712,3123df21-500f-4193-ae2d-183fa36583e0
IN,1556130317807,17db0065-0338-4074-92c5-fb91d9b9af3b
OUT,1556130317810,43bbf85f-b74b-4445-958e-429e57d86a8a
IN,1556130317810,30d158f0-6cbf-4523-bcb7-de52ddfd63aa
IN,1556130317904,698234cf-5022-4ca3-a584-5ba8b823e1ef
OUT,1556130317910,0e11ade2-78ad-4c67-9a79-23424c306442
IN,1556130317910,0e11ade2-78ad-4c67-9a79-23424c306442
IN,1556130318001,4903b431-a3a5-40c0-a5c6-19ec035db05e
OUT,1556130318009,e7c814bc-e0d0-45f3-a2b3-aded1f3b6e81
IN,1556130318009,a32d289a-c75e-4900-8aeb-bf4120585505
IN,1556130318098,3a89e98a-e0e0-46f9-8913-2183eb833e86
OUT,1556130318107,bf751c31-4a25-47e4-91f8-044a8da621fc
IN,1556130318107,d191a4f1-d9c8-4c01-b0d2-0b725d21e08d
IN,1556130318199,0ff0df6d-1a57-4bb9-9f44-40924c50876e
OUT,1556130318206,c5eab206-1909-4574-a168-9020a65dd040
IN,1556130318206,c5eab206-1909-4574-a168-9020a65dd040
IN,1556130318207,b8322164-1a09-4950-9a55-5e8b5f6b553a
IN,1556130318293,b432567c-78d3-4553-9179-dfd1e1bfd6b9
OUT,1556130318307,cf6d0807-7746-4d4b-84e4-9ebcccf51ac6
IN,1556130318308,a2bbffb1-d8cf-45a2-871b-87b5c06e5912
IN,1556130318308,cf6d0807-7746-4d4b-84e4-9ebcccf51ac6
IN,1556130318392,3642c214-71eb-40bf-bf57-d6ea4086ee8c
OUT,1556130318406,a3eb6f88-d6c0-4e3a-89d0-7746633ea355
IN,1556130318406,4b93819d-ee29-4a9c-8736-989143a9d194
