Direction,Timestamp,Hash
OUT,1556138384043,msg-#1-1
IN,1556138384044,msg-#1-1
OUT,1556138384144,msg-#1-2
IN,1556138384144,msg-#2-2
IN,1556138384144,msg-#1-2
OUT,1556138384241,msg-#1-3
IN,1556138384242,msg-#1-3
IN,1556138384242,msg-#3-3
OUT,1556138384339,msg-#1-4
IN,1556138384340,msg-#2-4
IN,1556138384340,msg-#1-4
IN,1556138384438,msg-#2-5
OUT,1556138384438,msg-#1-5
IN,1556138384438,msg-#3-5
IN,1556138384438,msg-#1-5
IN,1556138384534,msg-#2-6
OUT,1556138384538,msg-#1-6
IN,1556138384538,msg-#1-6
IN,1556138384632,msg-#2-7
OUT,1556138384637,msg-#1-7
IN,1556138384638,msg-#1-7
IN,1556138384731,msg-#2-8
OUT,1556138384737,msg-#1-8
IN,1556138384737,msg-#1-8
IN,1556138384737,msg-#3-8
IN,1556138384826,msg-#2-9
OUT,1556138384837,msg-#1-9
IN,1556138384837,msg-#1-9
IN,1556138384924,msg-#2-10
OUT,1556138384934,msg-#1-10
IN,1556138384935,msg-#3-10
IN,1556138385024,msg-#2-11
OUT,1556138385032,msg-#1-11
IN,1556138385032,msg-#1-11
IN,1556138385032,msg-#3-11
IN,1556138385120,msg-#2-12
OUT,1556138385134,msg-#1-12
IN,1556138385135,msg-#3-12
IN,1556138385218,msg-#2-13
OUT,1556138385234,msg-#1-13
IN,1556138385234,msg-#3-13
IN,1556138385316,msg-#2-14
OUT,1556138385331,msg-#1-14
IN,1556138385332,msg-#3-14
IN,1556138385332,msg-#1-14
IN,1556138385415,msg-#2-15
OUT,1556138385428,msg-#1-15
IN,1556138385429,msg-#1-15
IN,1556138385516,msg-#2-16
OUT,1556138385527,msg-#1-16
IN,1556138385528,msg-#1-16
IN,1556138385615,msg-#2-17
OUT,1556138385629,msg-#1-17
IN,1556138385630,msg-#1-17
IN,1556138385711,msg-#2-18
OUT,1556138385726,msg-#1-18
IN,1556138385727,msg-#1-18
IN,1556138385727,msg-#3-18
IN,1556138385805,msg-#2-19
OUT,1556138385824,msg-#1-19
IN,1556138385824,msg-#3-19
IN,1556138385824,msg-#1-19
IN,1556138385905,msg-#2-20
OUT,1556138385924,msg-#1-20
IN,1556138385924,msg-#3-20
IN,1556138385924,msg-#1-20
IN,1556138386002,msg-#2-21
OUT,1556138386026,msg-#1-21
IN,1556138386026,msg-#1-21
IN,1556138386100,msg-#2-22
OUT,1556138386122,msg-#1-22
IN,1556138386122,msg-#1-22
IN,1556138386123,msg-#3-22
IN,1556138386200,msg-#2-23
OUT,1556138386220,msg-#1-23
IN,1556138386221,msg-#1-23
IN,1556138386299,msg-#2-24
OUT,1556138386322,msg-#1-24
IN,1556138386323,msg-#3-24
IN,1556138386323,msg-#1-24
IN,1556138386397,msg-#2-25
OUT,1556138386419,msg-#1-25
IN,1556138386419,msg-#3-25
IN,1556138386493,msg-#2-26
OUT,1556138386518,msg-#1-26
IN,1556138386518,msg-#1-26
IN,1556138386593,msg-#2-27
OUT,1556138386620,msg-#1-27
IN,1556138386621,msg-#3-27
IN,1556138386621,msg-#1-27
IN,1556138386688,msg-#2-28
OUT,1556138386716,msg-#1-28
IN,1556138386716,msg-#1-28
IN,1556138386789,msg-#2-29
OUT,1556138386818,msg-#1-29
IN,1556138386818,msg-#3-29
IN,1556138386818,msg-#1-29
IN,1556138386885,msg-#2-30
OUT,1556138386915,msg-#1-30
IN,1556138386915,msg-#1-30
IN,1556138386984,msg-#2-31
OUT,1556138387013,msg-#1-31
IN,1556138387013,msg-#3-31
IN,1556138387083,msg-#2-32
OUT,1556138387115,msg-#1-32
IN,1556138387116,msg-#3-32
IN,1556138387181,msg-#2-33
OUT,1556138387215,msg-#1-33
IN,1556138387216,msg-#3-33
IN,1556138387276,msg-#2-34
OUT,1556138387309,msg-#1-34
IN,1556138387310,msg-#1-34
IN,1556138387375,msg-#2-35
OUT,1556138387410,msg-#1-35
IN,1556138387411,msg-#3-35
IN,1556138387411,msg-#1-35
